loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_rec_prncp,total_rec_int,last_pymnt_amnt,repay_fail,credit_age_yrs
10000,36 months,10.59,2 years,MORTGAGE,63000,Not Verified,credit_card,14.7,0,0,10,0,7194,0.679,20,10000,1674.72,1928.79,0,7.85989011
7500,60 months,14.79,7 years,RENT,25000,Verified,credit_card,14.69,0,1,11,0,6595,0.449,20,4223.03,2688.37,177.6,1,11.70604396
17000,36 months,12.87,2 years,RENT,41400,Not Verified,other,18.03,0,0,4,0,3629,0.825,15,16999.99,3584.08,578.93,0,8.615384615
18000,60 months,11.49,5 years,RENT,43264,Source Verified,debt_consolidation,18.42,0,0,6,0,13659,0.767,13,18000,5737.05,1213.54,0,11.62087912
15000,60 months,11.11,4 years,MORTGAGE,44300,Source Verified,credit_card,17.31,0,0,7,0,16309,0.792,18,15000,3683.69,5936.42,0,10.62362637
15000,36 months,13.57,6 years,MORTGAGE,156000,Not Verified,home_improvement,8.88,0,1,6,0,92755,0.492,14,15000,3344.45,560.6,0,9.282967033
9500,36 months,11.99,3 years,MORTGAGE,35004,Not Verified,debt_consolidation,11.28,0,2,9,0,9,0.001,16,9500,773.8,7750.96,0,3.675824176
18000,60 months,12.99,3 years,MORTGAGE,60000,Not Verified,debt_consolidation,19.66,0,0,9,0,22107,0.482,23,13712.62,6287.44,409.47,1,8.777472527
5500,36 months,8.49,n/a,MORTGAGE,36780,Not Verified,car,16.54,0,2,8,0,8926,0.498,27,3975.3,692.73,173.6,1,31.85714286
9600,36 months,11.03,4 years,MORTGAGE,62892,Not Verified,debt_consolidation,21.83,0,2,14,0,12025,0.372,21,7199.97,1289.5,237.94,0,14.38186813
6000,60 months,13.23,5 years,OWN,67000,Source Verified,car,18.56,0,0,18,0,30727,0.658,33,6000,1683.86,1540.56,0,9.35989011
17000,60 months,17.14,10+ years,RENT,62000,Source Verified,debt_consolidation,14.63,0,3,14,0,16339,0.756,26,6168.38,5681.78,423.78,1,14.46703297
3400,36 months,6.92,< 1 year,RENT,40000,Not Verified,credit_card,7.29,0,1,5,0,53,0.003,14,3400,295.5,1706.41,0,10.19505495
4025,36 months,7.49,10+ years,MORTGAGE,106000,Not Verified,home_improvement,15.44,1,5,7,0,656,0.05,13,4025,466.13,878.08,0,13.37912088
4200,36 months,7.49,1 year,OWN,21600,Source Verified,debt_consolidation,8.61,0,0,4,0,2718,0.566,10,4200,499.91,73.18,0,7.274725275
12000,36 months,6.17,4 years,RENT,38001.6,Source Verified,debt_consolidation,14.05,0,0,9,0,5051,0.401,21,12000,1164.68,1464.26,0,8.362637363
4600,36 months,15.68,10+ years,RENT,75000,Not Verified,other,8,0,4,21,1,6909,0.292,53,0,0,0,1,19.81593407
23500,60 months,16.82,10+ years,MORTGAGE,112000,Verified,debt_consolidation,18.16,0,0,9,1,16141,0.828,20,23450,11374.99,1201.06,0,37.96153846
17400,36 months,16.07,8 years,MORTGAGE,1.00E+05,Not Verified,debt_consolidation,9.9,0,2,17,0,12487,0.722,56,17400,4647.58,689.39,0,21.40934066
10000,36 months,6.03,9 years,MORTGAGE,80000,Not Verified,debt_consolidation,12.99,0,0,7,0,27644,0.452,17,10000,840.6,3845.46,0,24.33241758
6000,36 months,7.9,n/a,MORTGAGE,66000,Source Verified,other,21.24,0,0,24,0,18723,0.231,54,6000,534.33,3531.51,0,36.54395604
25000,36 months,16.07,7 years,MORTGAGE,182004,Verified,home_improvement,14.03,0,0,11,0,2036,0.075,33,25000,6603.8,3500.8,0,14.88461538
2500,36 months,7.66,n/a,MORTGAGE,103000,Verified,other,20.96,0,1,4,0,0,0.2192,35,2500,306.18,91.17,0,19.48076923
25000,36 months,8.49,7 years,RENT,150000,Source Verified,major_purchase,6,0,0,6,0,16091,0.389,30,25000,942.92,6977.68,0,14.71428571
14000,60 months,17.27,1 year,RENT,52000,Not Verified,car,5.35,0,1,4,1,8555,0.75,8,8209.42,6121.56,349.98,1,12.37637363
26000,36 months,10.99,5 years,RENT,52000,Verified,credit_card,15.16,0,0,8,0,25913,0.63,22,26000,3107.24,16361.73,0,14.7967033
4000,36 months,13.49,10+ years,OWN,107000,Not Verified,credit_card,2.09,1,1,9,0,2840,0.2,42,4000,735.13,1891,0,26.92307692
2075,36 months,17.58,1 year,RENT,20000,Not Verified,debt_consolidation,18.36,0,4,6,0,661,0.441,10,133.83,88.8,74.58,1,1.758241758
15000,36 months,13.92,10+ years,MORTGAGE,102058,Verified,home_improvement,13.1,0,1,16,0,8785,0.374,24,15000,3434.21,540.86,0,31.69505495
2400,36 months,12.49,< 1 year,MORTGAGE,41380,Not Verified,home_improvement,20.56,0,5,10,0,18749,0.83,17,968.64,340.55,29.59,1,5.771978022
12000,60 months,17.27,2 years,RENT,36048,Not Verified,debt_consolidation,20.51,1,1,10,0,7113,0.195,18,12000,3075.1,9389.41,0,8.10989011
6800,36 months,6.03,10+ years,MORTGAGE,45000,Source Verified,debt_consolidation,17.79,0,0,8,0,3188,0.358,25,6800,440.28,4136.65,0,25.83791209
5000,36 months,8.88,2 years,RENT,72467,Source Verified,major_purchase,15.27,1,0,11,0,2006,0.191,24,5000,714.44,172.77,0,11.20604396
